id,name,parentId
0,Adcadarao,0
1,Agbobolo,0
2,Badiangan,0
3,Barrido,0
4,Bato Biasong,0
5,Bay-Ang,0
6,Bucana Bunglas,0
7,Central,0
8,Culasi,0
9,Lanjagan,0
10,Luca,0
11,Malayu-An,0
12,Mangorocoro,0
13,Nasidman,0
14,Pantalan Nabaye,0
15,Pantalan Navarro,0
16,Pedada,0
17,Pili,0
18,Pinantan Diel,0
19,Pinantan Elizalde,0
20,Pinay Espinosa,0
21,Poblacion,0
22,Progreso,0
23,Puente Bunglas,0
24,Punta Buri,0
25,Rojas,0
26,San Antonio,0
27,Santo Rosario,0
28,Silagon,0
29,Tagubanhan,0
30,Taguhangin,0
31,Tanduyan,0
32,Tipacla,0
33,Tubogan,0
0,Agbatuan,1
1,Badiang,1
2,Balabag,1
3,Balunos,1
4,Cag-An,1
5,Camiros,1
6,Dangula-An,1
7,Guipis,1
8,Manganese,1
9,Medina,1
10,Mostro,1
11,Palaypay,1
12,Pantalan,1
13,Poblacion,1
14,Sambag Culob,1
15,San Carlos,1
16,San Juan Crisostomo,1
17,Santa Rita,1
18,Santo Rosario,1
19,Serallo,1
20,Vista Alegre,1
0,Abang-Abang,2
1,Agsing,2
2,Atabay,2
3,Ba-Ong,2
4,Bagsakan,2
5,Baguingin-Lanot,2
6,Bagumbayan-Ilajas,2
7,Balabago,2
8,Ban-Ag,2
9,Bancal,2
10,Binalud,2
11,Bugang,2
12,Buhay,2
13,Bulod,2
14,Cabacanan Proper,2
15,Cabacanan Rizal,2
16,Cagay,2
17,Coline,2
18,Coline-Dalag,2
19,Cunsad,2
20,Cuyad,2
21,Dalid,2
22,Dao,2
23,Gines,2
24,Ginomoy,2
25,Ingwan,2
26,Laylayan,2
27,Lico,2
28,Luan-Luan,2
29,Malamboy-Bondolan,2
30,Malamhay,2
31,Mambawi,2
32,Manasa,2
33,Manduyog,2
34,Pajo,2
35,Pianda-An Norte,2
36,Pianda-An Sur,2
37,Poblacion,2
38,Punong,2
39,Quinaspan,2
40,Sinamay,2
41,Sulong,2
42,Taban-Manguining,2
43,Tabug,2
44,Tarug,2
45,Tugaslon,2
46,Ubodan,2
47,Ugbo,2
48,Ulay-Bugang,2
49,Ulay-Hinablan,2
50,Umingan,2
0,Agusipan,3
1,Astorga,3
2,Bingauan,3
3,Bita-Oyan,3
4,Botong,3
5,Budiawe,3
6,Cabanga-An,3
7,Cabayogan,3
8,Calansanan,3
9,Catubig,3
10,Guinawahan,3
11,Ilongbukid,3
12,Indorohan,3
13,Iniligan,3
14,Latawan,3
15,Linayuan,3
16,Mainguit,3
17,Malublub,3
18,Manaolan,3
19,Mapili Grande,3
20,Mapili Sanjo,3
21,Odiongan,3
22,Poblacion (Badiangan),3
23,San Julian,3
24,Sariri,3
25,Sianon,3
26,Sinuagan,3
27,Talaba,3
28,Tamocol,3
29,Teneclan,3
30,Tina,3
0,Alapasco,4
1,Alinsolong,4
2,Banban,4
3,Batad Viejo,4
4,Binon-An,4
5,Bolhog,4
6,Bulak Norte,4
7,Bulak Sur,4
8,Cabagohan,4
9,Calangag,4
10,Caw-I,4
11,Drancalan,4
12,Embarcadero,4
13,Hamod,4
14,Malico,4
15,Nangka,4
16,Pasayan,4
17,Poblacion,4
18,Quiazan Florete,4
19,Quiazan Lopez,4
20,Salong,4
21,Santa Ana,4
22,Tanao,4
23,Tapi-An,4
0,Aglosong,5
1,Agnaga,5
2,Bacjawan Norte,5
